Case_ID,Region,Country,Pollutant_Type,Pollutant_Concentration_mg_kg,Soil_pH,Temperature_C,Humidity_%,Rainfall_mm,Crop_Type,Farming_Practice,Nearby_Industry,Water_Source_Type,Soil_Texture,Soil_Organic_Matter_%,Disease_Type,Disease_Severity,Health_Symptoms,Age_Group_Affected,Gender_Most_Affected,Mitigation_Measure,Case_Resolved,Follow_Up_Required,year,Soil_pH_ss,Rainfall_mm_ss
100010,2,1,2,1075,5.59,39.0,46.8,112.4,5,3,3,1,3,5.66,2,0,1,1,1,3,1,0,2025,-0.7492830190137806,-0.76281625892154
100011,1,4,1,375,7.71,12.6,94.0,308.9,3,0,2,1,0,2.39,4,2,4,0,0,0,1,0,2023,1.0687267782301348,0.9421336012650762
100012,2,7,4,13,7.76,34.7,74.7,308.5,1,2,1,3,0,1.2,4,0,5,1,1,3,0,0,2023,1.1116043677877743,0.9386629654173683
100013,2,8,1,991,4.96,40.2,66.7,132.4,3,2,3,3,0,1.1,1,0,2,2,1,4,0,0,2024,-1.2895406474400384,-0.5892844665361338
100014,3,3,5,850,5.8,35.5,67.8,354.9,3,3,3,4,2,4.99,4,0,5,0,2,0,1,1,2024,-0.5691971428716947,1.3412567237515107
100015,5,5,4,324,7.35,36.6,62.1,308.4,4,0,1,3,1,5.19,4,0,2,1,2,0,0,0,2024,0.7600081334151301,0.9377953064554411
100016,2,3,4,1441,6.21,10.9,28.1,12.6,1,1,1,1,1,6.55,2,1,1,2,1,2,0,0,2024,-0.2176009084990505,-1.6287399029247174
100017,1,7,1,859,6.53,41.8,38.7,164.2,0,0,2,1,1,7.68,1,1,5,2,2,1,0,0,2024,0.05681566466984263,-0.313368916643338
100018,0,3,5,623,4.81,20.1,32.1,371.9,2,1,0,4,3,8.18,1,1,1,1,2,4,1,0,2024,-1.418173416112957,1.488758747279106
100019,0,4,4,1768,7.99,38.1,34.0,357.0,0,2,2,4,1,5.62,0,1,1,0,2,3,0,1,2023,1.3088412797529163,1.3594775619519786
100020,3,7,1,2259,8.08,21.1,28.3,91.2,2,0,4,0,3,4.56,2,0,5,0,2,2,1,0,2023,1.3860209409566673,-0.9467599588500707
100021,2,1,4,2296,7.94,10.2,58.3,167.0,2,3,1,4,3,2.61,2,0,2,0,1,0,0,0,2024,1.265963690195277,-0.289074465709381
100022,5,6,4,326,5.85,43.0,44.2,207.5,0,1,3,4,2,7.18,3,1,3,1,2,0,0,0,2023,-0.5263195533140552,0.06232741387106667
100023,1,4,4,1003,8.39,43.7,38.9,198.9,2,0,4,1,2,3.36,3,0,0,2,1,0,1,1,2024,1.6518619962140328,-0.012291256854657977
100024,4,3,3,776,4.65,31.3,57.7,20.6,5,2,0,4,2,3.15,4,1,4,2,1,3,1,1,2023,-1.555381702697403,-1.5593271859705549
100025,0,1,3,2525,5.46,15.1,56.7,394.3,3,3,4,0,3,2.8,2,2,2,1,2,3,0,0,2024,-0.8607647518636432,1.6831143547507612
100026,5,1,0,1867,7.55,18.3,74.6,147.1,0,2,2,3,2,6.51,3,1,4,0,0,0,0,0,2024,0.9315184916456883,-0.4617385991328603
100027,1,7,3,1769,6.64,13.2,82.6,128.3,2,3,2,3,3,2.27,4,1,4,0,1,0,1,1,2024,0.15114636169664908,-0.624858483975142
100028,5,8,0,111,6.86,33.7,21.2,204.8,5,0,0,4,2,2.65,1,2,2,1,0,1,0,0,2024,0.33980775575026345,0.03890062189903692
100029,5,1,2,1797,5.2,34.2,49.0,374.7,1,3,4,4,2,1.81,1,0,5,2,2,4,1,1,2025,-1.0837282175633685,1.5130531982130628
100030,5,2,1,941,4.95,42.4,85.8,103.2,4,1,1,4,0,6.77,4,2,1,1,1,1,1,0,2024,-1.298116165351566,-0.8426408834188269
100031,1,9,1,2291,6.72,28.5,38.1,37.2,1,3,2,2,2,9.02,0,2,3,2,0,3,1,0,2024,0.21975050498887236,-1.4152957982906675
100032,0,3,5,2505,7.03,21.9,46.2,290.4,2,1,3,1,1,9.02,3,0,4,2,1,2,1,1,2023,0.48559156024623773,0.7816166933085754
100033,3,4,3,2477,7.62,32.5,26.3,64.7,2,1,4,1,1,9.04,0,0,3,1,2,2,1,1,2023,0.9915471170263839,-1.1766895837607338
100034,3,5,5,1684,4.54,13.6,69.8,2.0,5,1,1,2,3,2.03,2,2,0,0,2,1,0,0,2023,-1.6497123997242102,-1.7207117528889826
100035,5,8,1,1506,7.27,32.8,36.8,284.9,3,2,0,1,0,2.75,1,0,2,1,2,2,1,1,2025,0.6914039901229069,0.7338954504025887
100036,0,7,1,891,7.49,32.7,83.7,263.0,2,2,3,1,0,5.9,0,1,3,1,1,4,0,0,2024,0.8800653841765212,0.543878137740569
100037,1,2,2,256,5.97,19.3,38.3,389.2,1,0,3,2,3,4.23,0,2,2,1,2,3,0,0,2025,-0.42341333837572037,1.6388637476924826
100038,5,8,3,2485,7.02,37.8,57.7,230.8,4,1,4,2,0,5.18,2,1,5,1,2,1,0,1,2023,0.4770160423347093,0.26449195200006503
100039,3,5,5,532,7.39,19.8,21.8,258.2,5,0,0,0,0,2.18,4,2,5,0,2,3,0,1,2023,0.7943102050612417,0.5022305075680714
100040,3,5,3,2625,8.32,42.0,47.8,6.2,3,2,3,2,3,9.32,1,2,2,2,2,2,1,1,2023,1.5918333708333372,-1.6842700764880474
100041,4,1,5,1182,8.37,43.7,84.0,117.8,5,2,3,2,3,4.16,2,2,4,1,2,3,0,0,2024,1.6347109603909757,-0.7159626749774805
100042,5,3,2,2381,5.77,15.9,61.8,374.5,3,0,1,3,0,7.11,4,0,5,2,1,3,1,0,2024,-0.5949236966062785,1.5113178802892089
100043,5,1,4,1578,4.89,31.5,94.3,56.0,3,1,3,0,2,5.42,1,0,3,2,2,0,0,0,2024,-1.3495692728207338,-1.2521759134483859
100044,1,5,0,2456,7.46,34.4,72.7,143.8,0,1,3,4,2,3.29,2,1,1,0,0,0,0,0,2024,0.8543388304419374,-0.4903713448764522
100045,5,0,4,2264,7.74,40.3,88.5,204.5,3,1,0,2,3,5.26,4,1,3,0,1,0,0,0,2024,1.0944533319647187,0.036297645013255726
100046,1,4,4,2240,7.1,34.6,79.7,356.0,5,2,4,4,3,3.71,0,2,1,2,0,4,1,1,2024,0.5456201856269326,1.3508009723327081
100047,4,8,2,1039,4.88,30.2,22.7,186.2,5,0,0,4,3,5.66,4,1,2,0,0,4,1,1,2025,-1.3581447907322617,-0.1224839450193911
100048,3,0,3,783,6.86,11.1,22.8,329.0,3,3,3,0,0,3.92,3,1,1,0,2,2,1,0,2023,0.33980775575026345,1.1165330526124098
100049,2,0,2,346,6.59,36.9,36.2,249.2,4,1,0,4,1,1.31,1,0,3,2,2,4,0,1,2025,0.1082687721390097,0.42414120099463865
100050,2,7,3,135,6.63,28.9,67.8,290.4,0,3,2,1,1,9.77,3,1,4,2,1,1,0,0,2025,0.14257084378512136,0.7816166933085754
100051,1,3,0,1417,5.79,37.8,40.3,175.6,3,3,4,4,0,1.25,0,1,3,1,2,2,1,0,2023,-0.5777726607832223,-0.21445579498365638
100052,5,9,4,65,8.35,39.3,72.2,163.6,1,1,0,2,0,2.15,2,0,5,1,1,4,0,1,2024,1.6175599245679204,-0.3185748704149001
100053,2,4,5,416,5.5,29.2,73.6,264.1,3,1,0,1,0,3.16,0,2,0,2,1,3,0,1,2024,-0.8264626802175316,0.5534223863217665
100054,2,7,5,2668,7.45,29.4,65.9,167.8,0,3,0,4,0,2.85,2,0,1,1,2,2,0,1,2023,0.8457633125304096,-0.28213319401396464
100055,5,0,3,984,7.53,10.5,28.7,18.4,5,3,2,3,3,0.89,3,1,5,0,2,2,0,0,2024,0.9143674558226329,-1.5784156831329494
100056,5,5,1,2389,7.31,26.6,27.3,196.6,4,3,2,1,2,5.0,2,2,5,2,2,4,1,1,2025,0.7257060617690185,-0.032247412978979796
100057,0,4,3,472,6.24,23.9,66.2,254.0,5,1,4,1,2,0.93,2,0,1,2,0,0,0,1,2023,-0.19187435476446657,0.4657888311671362
100058,5,4,3,1035,7.0,27.6,84.2,263.5,5,2,0,4,1,2.05,1,1,0,0,1,1,1,0,2024,0.45986500651165385,0.5482164325502042
100059,0,8,0,188,7.07,10.9,63.9,376.1,3,0,0,1,3,5.97,1,0,0,2,0,3,0,1,2024,0.5198936318923494,1.5252004236800416
100060,0,9,2,1073,7.07,26.0,60.9,376.6,2,3,2,1,2,4.17,4,2,0,2,1,3,0,1,2024,0.5198936318923494,1.5295387184896767
100061,5,7,0,2687,8.12,16.9,25.2,40.3,0,0,4,1,2,0.67,2,0,4,1,2,0,0,1,2023,1.4203230126027782,-1.3883983704709297
100062,0,7,0,258,7.23,12.5,43.9,338.0,4,2,4,1,3,0.72,4,2,0,1,2,1,1,0,2024,0.657101918476796,1.1946223591858425
100063,3,2,5,2282,5.63,14.1,72.3,251.6,3,1,0,1,0,8.84,1,2,5,2,2,3,1,0,2024,-0.7149809473676689,0.4449650160808874
100064,1,9,0,2040,7.71,19.9,33.3,300.2,5,1,1,3,1,8.16,2,1,1,2,2,2,1,0,2024,1.0687267782301348,0.8666472715774246
100065,3,0,3,2766,6.15,23.0,78.2,136.3,1,1,0,3,2,9.34,2,1,4,0,0,2,1,0,2024,-0.2690540159682176,-0.5554457670209795
100066,0,5,5,2401,6.22,36.3,76.6,41.2,4,1,3,1,1,9.07,0,2,5,1,1,4,0,0,2024,-0.20902539058752279,-1.3805894398135863
100067,4,5,1,1385,7.81,21.2,87.2,155.7,0,3,2,2,2,0.6,3,1,0,1,1,0,1,0,2024,1.1544819573454137,-0.38711992840713566
100068,2,6,4,2516,4.87,21.2,91.3,380.2,2,0,1,2,3,5.95,1,1,1,2,0,3,1,1,2023,-1.3667203086437894,1.5607744411190496
100069,0,2,5,1764,6.29,20.3,44.6,269.0,0,2,1,3,1,7.65,0,0,3,2,1,1,1,0,2023,-0.14899676520682723,0.5959376754561909
100070,0,2,0,2221,7.66,13.2,57.1,23.0,0,0,4,4,1,5.72,0,2,5,1,0,3,0,1,2023,1.0258491886724956,-1.538503370884306
100071,3,4,5,1217,8.05,22.3,28.8,57.2,2,0,1,2,1,7.73,4,1,4,2,1,3,1,0,2024,1.3602943872220843,-1.2417640059052613
100072,5,8,5,1730,4.9,12.9,72.6,29.1,3,2,1,0,2,8.31,1,2,1,0,1,3,1,0,2023,-1.3409937549092055,-1.4855761742067572
100073,0,4,0,1961,4.83,13.0,94.0,149.7,0,3,4,2,2,4.02,1,0,4,0,2,4,1,1,2024,-1.401022380289901,-0.43917946612275754
100074,1,8,4,2278,8.29,44.5,76.5,150.5,4,1,4,1,2,1.29,0,1,2,2,0,4,0,0,2024,1.5661068170987527,-0.4322381944273412
100075,4,2,3,2167,6.73,24.8,88.0,44.5,4,1,2,0,1,5.18,1,0,0,1,1,3,1,1,2025,0.22832602290040083,-1.3519566940699943
100076,4,0,2,25,6.37,12.0,28.9,47.0,4,2,0,3,1,6.67,0,2,5,2,2,1,0,0,2023,-0.08039262191460395,-1.3302652200218186
100077,5,1,1,2070,6.83,43.7,48.1,114.3,3,3,2,2,0,8.75,2,1,5,2,1,2,1,0,2025,0.3140812020156796,-0.7463307386449265
100078,4,4,0,603,8.35,10.4,92.7,17.3,5,1,4,1,1,8.97,4,2,3,1,1,1,0,0,2023,1.6175599245679204,-1.5879599317141468
100079,5,1,0,1447,8.47,12.6,61.5,387.7,1,1,1,2,0,5.47,4,1,2,2,1,4,0,1,2024,1.7204661395062562,1.625848863263577
100080,5,9,1,1759,7.28,25.9,67.1,233.7,2,0,0,4,0,9.06,0,2,0,0,2,2,0,1,2025,0.6999795080344353,0.2896540618959488
100081,2,2,2,119,5.62,43.3,86.8,182.3,2,3,1,3,1,6.39,2,2,1,2,2,3,0,0,2024,-0.7235564652791966,-0.1563226445345451
100082,2,2,1,763,5.25,26.2,46.5,233.5,4,2,1,3,0,1.24,2,2,2,2,2,3,0,0,2024,-1.040850628005729,0.2879187439720948
100083,4,7,5,2722,8.44,34.4,60.2,123.8,0,2,3,1,3,8.23,4,1,1,2,0,0,1,0,2024,1.6947395857716714,-0.6639031372618586
100084,5,3,5,1900,5.15,41.9,81.7,379.9,5,1,0,2,1,7.39,0,0,5,0,0,1,0,1,2024,-1.1266058071210079,1.5581714642332685
100085,3,9,3,1713,6.17,42.6,85.0,18.1,3,1,4,2,1,0.75,3,1,0,2,1,3,0,1,2023,-0.25190298014516216,-1.5810186600187306
100086,1,5,5,1042,7.74,44.6,31.3,237.7,0,0,2,1,2,4.12,1,1,0,2,2,1,0,1,2023,1.0944533319647187,0.32436042037303003
100087,2,4,0,2711,7.87,39.3,55.2,165.9,4,1,0,4,2,3.1,2,2,1,0,0,3,1,1,2024,1.2059350648145815,-0.2986187142905783
100088,5,2,5,149,7.96,38.5,95.0,398.7,0,2,3,1,0,5.78,0,1,3,2,1,4,0,1,2023,1.2831147260183324,1.7212913490755504
100089,0,9,0,2142,8.28,39.7,38.6,180.2,2,0,1,3,1,1.73,2,0,5,2,1,3,1,1,2024,1.5575312991872248,-0.17454348273501297
100090,1,0,3,2666,6.92,18.0,70.4,247.3,0,0,1,3,3,3.9,2,0,4,0,1,4,0,1,2024,0.39126086321943054,0.4076556807180252
100091,1,8,3,308,7.19,28.2,77.9,208.1,5,1,2,0,1,8.6,4,2,5,0,0,2,0,0,2023,0.6227998468306843,0.06753336764262881
100092,2,9,1,1516,6.74,40.7,50.3,53.6,4,1,3,2,3,0.77,2,1,1,0,0,2,1,1,2024,0.23690154081192855,-1.2729997285346346
100093,2,6,5,2097,6.98,34.6,36.0,54.5,2,3,1,3,0,0.64,4,1,4,2,1,4,1,0,2024,0.4427139706885984,-1.2651907978772912
100094,1,9,0,968,6.86,23.7,52.8,361.7,1,3,2,4,3,3.81,1,1,0,1,1,0,1,0,2023,0.33980775575026345,1.4002575331625489
100095,5,8,0,1412,7.63,23.9,66.7,344.9,0,2,4,4,1,9.52,1,2,0,1,0,3,0,0,2024,1.0001226349379115,1.2544908275588076
100096,1,8,4,390,8.21,27.2,39.4,183.7,1,1,0,3,1,9.81,4,1,5,1,1,1,1,1,2023,1.4975026738065307,-0.1441754190675669
100097,0,8,2,1347,5.82,32.2,38.0,30.3,1,3,4,4,1,1.72,0,2,5,2,0,0,0,0,2024,-0.5520461070486384,-1.4751642666636327
100098,3,6,4,350,5.11,14.9,68.1,72.8,5,1,2,0,1,3.78,1,1,3,1,1,3,0,1,2023,-1.1609078787671194,-1.1064092078446446
100099,1,8,0,2499,6.4,33.4,32.9,76.9,1,3,3,3,2,0.89,3,1,1,0,2,3,0,0,2023,-0.05466606818002002,-1.0708351904056361
100100,5,6,3,459,5.61,16.2,26.7,48.3,3,2,0,4,3,4.88,3,0,4,0,2,1,1,0,2023,-0.7321319831907244,-1.3189856535167672
100101,1,1,0,563,5.96,27.6,71.8,15.7,3,2,4,1,2,8.09,3,0,3,1,1,2,0,1,2023,-0.4319888562872481,-1.6018424751049796
100102,0,2,3,1752,4.83,40.6,89.1,24.4,5,3,2,2,0,3.13,3,2,1,2,0,0,1,0,2024,-1.401022380289901,-1.5263561454173276
100103,5,2,5,2257,7.49,16.5,35.7,148.2,4,0,1,1,0,5.1,2,1,3,2,1,1,1,1,2025,0.8800653841765212,-0.452194350551663
100104,3,2,2,1731,5.98,26.2,76.1,14.7,5,2,0,1,3,2.9,1,2,0,1,2,0,0,0,2023,-0.4148378204641919,-1.6105190647242498
100105,0,4,4,1978,8.08,27.9,59.9,42.9,0,2,1,4,1,4.75,4,2,4,1,2,0,1,0,2024,1.3860209409566673,-1.3658392374608268
100106,2,7,2,1464,5.47,19.4,48.3,8.0,0,1,0,2,1,3.56,0,1,4,1,2,4,0,0,2024,-0.8521892339521154,-1.6686522151733607
100107,2,1,5,576,5.81,14.2,86.8,237.4,3,1,1,4,0,6.95,0,1,4,1,1,0,1,0,2024,-0.5606216249601669,0.32175744348724905
100108,2,0,1,2208,6.49,13.0,60.3,234.7,4,3,0,3,3,7.58,2,0,0,2,0,4,1,1,2024,0.022513593023730984,0.2983306515152191
100109,1,4,2,1192,5.01,19.9,47.2,258.4,2,0,4,2,3,5.92,0,0,1,2,1,0,1,0,2023,-1.246663057882399,0.5039658254919254
100110,3,6,0,985,8.45,31.2,37.8,40.7,2,0,0,4,3,1.95,0,1,4,0,0,3,1,1,2023,1.703315103683199,-1.3849277346232214
100111,1,8,0,669,5.14,16.5,41.4,69.3,3,3,0,2,0,9.02,1,1,4,2,1,3,0,1,2023,-1.1351813250325364,-1.1367772715120907
100112,2,1,3,219,6.6,24.4,93.7,44.8,2,1,3,3,1,4.28,4,1,2,2,1,2,1,0,2024,0.11684429005053742,-1.3493537171842134
100113,1,0,2,2710,7.96,38.6,39.3,68.4,2,3,4,3,3,6.85,3,2,0,2,0,1,0,0,2024,1.2831147260183324,-1.1445862021694337
100114,5,6,2,2587,6.73,30.0,41.0,307.8,5,1,3,0,3,2.28,0,2,4,2,0,3,0,0,2024,0.22832602290040083,0.9325893526838792
100115,5,1,1,886,6.2,27.8,38.2,45.9,1,3,0,2,2,6.3,0,1,0,0,0,2,1,1,2024,-0.22617642641057822,-1.339809468603016
100116,5,3,4,789,6.82,15.4,56.1,213.0,0,3,4,1,3,0.99,3,0,1,0,1,3,1,0,2023,0.30550568410415185,0.11004865677705339
100117,2,5,4,928,5.04,12.2,94.2,128.9,4,0,3,4,1,8.19,2,1,2,1,2,0,1,0,2024,-1.220936504147815,-0.6196525302035799
100118,0,2,4,695,7.23,36.6,64.7,188.6,5,1,1,1,1,4.41,1,2,4,0,2,1,1,1,2024,0.657101918476796,-0.1016601299331423
100119,5,7,0,963,8.22,39.1,92.4,49.7,4,3,4,1,2,7.44,4,2,3,2,2,1,1,1,2023,1.5060781917180586,-1.3068384280497887
100120,0,7,5,2618,5.22,12.3,75.6,229.8,4,1,1,3,0,8.5,1,1,3,1,2,4,1,1,2025,-1.0665771817403131,0.2558153623807947
100121,1,6,5,373,7.68,17.1,32.3,65.7,0,1,3,1,0,8.24,3,1,2,1,1,0,1,1,2025,1.043000224495551,-1.1680129941414636
100122,5,1,4,1849,6.59,22.6,85.8,157.0,5,2,3,2,3,8.26,0,2,1,0,2,3,1,1,2024,0.1082687721390097,-0.37584036190208414
100123,1,0,4,1208,6.01,26.2,42.6,299.0,5,2,4,4,1,5.28,4,0,4,0,2,2,0,1,2024,-0.3891112667296087,0.8562353640343003
100124,3,8,3,634,8.1,23.4,60.8,362.6,4,1,4,2,0,6.43,0,2,4,1,0,2,1,1,2023,1.4031719767797228,1.4080664638198925
100125,5,2,0,314,8.26,32.0,45.1,55.7,3,1,1,3,1,8.04,2,2,0,1,0,0,0,1,2024,1.5403802633641694,-1.2547788903341668
100126,4,0,1,1735,6.63,41.3,79.1,60.7,1,1,3,4,2,3.46,2,1,3,1,0,1,0,1,2024,0.14257084378512136,-1.211395942237815
100127,4,2,3,677,7.48,11.2,62.7,305.0,4,0,3,0,3,8.83,2,0,2,0,0,3,0,0,2023,0.8714898662649936,0.9082949017499222
100128,4,3,2,945,7.79,13.9,83.5,51.0,5,2,0,2,1,4.27,4,0,5,1,0,4,0,0,2023,1.1373309215223582,-1.2955588615447373
100129,2,1,5,2237,5.1,18.0,74.2,288.0,5,3,2,0,0,6.59,1,2,0,2,2,3,1,1,2024,-1.169483396678648,0.7607928782223269
100130,5,6,2,1924,6.67,18.8,45.9,72.6,2,3,1,1,3,9.13,3,1,0,0,2,2,1,0,2024,0.17687291543123299,-1.1081445257684985
100131,2,1,3,1623,6.1,26.2,91.0,61.3,0,3,4,0,2,6.07,4,2,3,0,0,2,1,1,2023,-0.3119316055258577,-1.2061899884662532
100132,0,9,5,1388,6.95,10.6,85.4,372.8,1,3,2,4,1,5.87,0,1,3,0,2,2,1,1,2024,0.4169874169540145,1.4965676779364496
100133,3,5,2,1930,8.19,34.8,31.4,230.5,4,0,3,3,3,6.26,0,0,0,0,1,1,1,1,2023,1.4803516379834738,0.2618889751142839
100134,4,5,1,1172,7.45,42.7,89.4,180.3,3,0,0,1,3,1.58,4,1,0,1,1,2,0,1,2024,0.8457633125304096,-0.17367582377308574
100135,1,3,3,2747,7.86,14.4,89.1,348.0,3,0,2,4,3,5.43,2,1,5,1,2,0,1,1,2024,1.1973595469030538,1.2813882553785456
100136,5,2,3,1642,6.1,11.9,45.1,321.1,3,1,3,2,3,0.54,2,2,1,0,2,1,1,1,2024,-0.3119316055258577,1.0479879946201744
100137,4,4,0,914,6.09,28.8,89.0,138.5,2,0,1,1,2,3.8,4,2,0,1,2,0,1,1,2023,-0.3205071234373854,-0.5363572698585849
100138,4,5,1,2047,6.31,17.9,53.9,56.3,3,0,4,0,0,2.18,2,2,3,0,0,0,0,0,2024,-0.1318457293837718,-1.249572936562605
100139,5,3,2,1362,6.18,42.0,47.2,232.2,1,3,0,3,2,6.51,2,0,1,2,2,4,0,1,2023,-0.24332746223363444,0.2766391774670433
100140,3,9,5,28,7.15,16.2,92.1,59.5,4,2,1,1,3,4.44,0,0,0,0,2,1,0,0,2024,0.5884977751845727,-1.2218078497809397
100141,3,5,0,236,8.49,27.6,64.7,26.8,0,2,0,1,0,7.62,0,0,1,1,2,0,1,0,2023,1.7376171753293115,-1.5055323303310788
100142,5,3,3,572,8.09,17.2,34.3,14.6,0,2,1,0,3,4.98,2,0,3,0,2,3,0,0,2023,1.3945964588681952,-1.6113867236861767
100143,5,4,3,1561,4.76,37.1,54.0,209.8,1,1,3,1,3,4.69,2,0,1,1,0,4,1,0,2024,-1.4610510056705965,0.08228356999538848
100144,1,7,4,1113,6.74,15.4,33.6,344.7,1,2,0,3,3,9.49,4,2,2,0,0,4,1,1,2023,0.23690154081192855,1.2527555096349536
100145,2,7,2,1030,5.58,32.5,50.7,10.2,3,3,3,0,0,1.98,0,1,3,0,1,0,0,1,2024,-0.7578585369253082,-1.6495637180109661
100146,2,5,0,1984,7.14,10.9,36.6,92.4,0,0,4,2,2,6.88,0,0,2,2,1,4,1,0,2024,0.5799222572730443,-0.9363480513069463
100147,4,3,2,49,4.92,38.0,33.4,261.1,5,2,4,1,3,2.76,1,2,3,0,0,3,1,0,2024,-1.32384271908615,0.5273926174639556
100148,4,9,1,270,5.47,35.3,84.2,332.1,1,1,0,0,2,4.27,1,0,0,0,0,1,1,0,2023,-0.8521892339521154,1.1434304804321478
100149,4,2,2,1856,5.32,20.3,87.2,5.2,0,1,2,4,0,1.31,4,1,3,2,1,3,0,0,2024,-0.9808220026250336,-1.6929466661073178
100150,0,4,0,567,4.61,16.4,63.7,168.6,3,3,0,0,0,8.98,4,0,1,1,2,2,0,0,2023,-1.5896837743435146,-0.27519192231854855
100151,3,0,1,2294,5.87,19.1,48.5,236.1,1,0,4,0,0,3.05,0,1,5,2,2,0,1,0,2025,-0.5091685174909991,0.3104778769821976
100152,3,8,1,1744,6.14,29.3,52.7,117.8,1,2,0,0,1,9.51,1,1,4,0,0,2,1,1,2023,-0.2776295338797461,-0.7159626749774805
100153,1,0,1,2127,5.06,40.4,56.6,357.8,1,1,1,0,0,8.1,1,0,3,1,2,4,1,1,2024,-1.2037854683247595,1.3664188336473948
100154,3,4,3,1174,4.59,19.4,60.6,253.4,5,1,4,1,2,2.95,2,2,4,2,1,2,1,0,2023,-1.6068348101665708,0.4605828773955741
100155,1,2,5,371,7.84,44.5,59.4,68.7,4,3,2,1,3,3.09,2,0,3,1,2,1,0,1,2024,1.1802085110799976,-1.1419832252836526
100156,5,3,1,43,8.16,14.1,63.2,109.6,1,0,3,0,1,5.76,4,2,3,1,2,2,0,1,2023,1.4546250842488906,-0.787110709855497
100157,5,8,1,1815,7.82,17.2,20.8,54.8,4,3,4,1,3,9.05,2,0,3,1,0,2,1,1,2023,1.163057475256942,-1.2625878209915102
100158,5,9,2,2442,6.89,31.0,69.9,70.1,3,3,1,3,0,9.19,0,2,4,1,0,1,0,0,2024,0.3655343094848466,-1.1298359998166745
100159,2,6,0,1156,6.03,28.2,23.5,66.5,0,0,1,1,3,7.51,2,1,4,0,0,2,0,1,2024,-0.3719602309065525,-1.1610717224460474
100160,5,9,0,227,6.91,18.6,49.2,115.5,1,1,0,0,0,3.88,1,2,1,2,1,0,0,1,2023,0.3826853453079028,-0.7359188311018021
100161,1,9,2,1996,5.69,29.8,55.7,265.5,5,3,1,2,2,9.4,4,1,1,0,2,1,1,0,2023,-0.6635278398985011,0.5655696117887449
100162,1,0,0,2034,5.36,11.1,39.7,238.0,3,2,0,1,0,0.99,1,0,1,0,2,3,0,1,2024,-0.946519930978922,0.32696339725881124
100163,5,9,3,1356,6.89,21.7,77.8,42.6,0,3,0,1,0,1.21,3,0,4,2,0,4,1,0,2024,0.3655343094848466,-1.368442214346608
100164,0,8,0,2024,6.48,34.1,52.6,98.6,0,0,4,1,0,8.28,2,1,3,2,0,0,1,1,2025,0.013938075112203263,-0.8825531956674705
100165,4,7,3,2242,7.28,19.5,64.3,144.4,4,3,2,1,2,1.37,1,1,1,2,2,4,0,1,2023,0.6999795080344353,-0.48516539110489004
100166,1,0,4,2553,5.05,43.3,53.5,74.1,0,1,3,3,3,5.65,3,2,4,2,1,0,0,1,2023,-1.2123609862362874,-1.0951296413395932
100167,0,9,5,2438,7.43,38.2,69.4,276.9,0,3,2,3,2,8.57,0,0,3,0,1,3,1,0,2023,0.8286122767073534,0.6644827334484262
100168,4,8,5,681,6.46,17.7,94.1,377.6,4,1,2,1,2,0.87,0,1,5,1,0,1,0,0,2025,-0.003212960710852938,1.5382153081089471
100169,2,2,2,1957,8.2,16.3,62.6,366.2,0,3,3,3,3,0.82,2,2,5,0,0,3,0,1,2024,1.4889271558950015,1.4393021864492652
